"run","metric","threshold_cy","overlap_samples","spikes","irq_spikes","clean_spikes","systick_spikes","tim2_spikes","max_irq_spike_cy","max_clean_spike_cy"
"1","semaphore_give_to_taskb_wake_attribution","1000","13","13","13","0","13","0","1380","0"
"1","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"1","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"1","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"1","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","530","0"
"2","semaphore_give_to_taskb_wake_attribution","1000","14","13","13","0","13","0","1388","0"
"2","tim2_irq_to_task_attribution","900","86","109","86","23","86","0","1237","1183"
"2","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"2","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"2","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","531","0"
"3","semaphore_give_to_taskb_wake_attribution","1000","13","12","11","1","11","0","1752","1374"
"3","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"3","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"3","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"3","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"4","semaphore_give_to_taskb_wake_attribution","1000","17","14","14","0","14","0","1376","0"
"4","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"4","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"4","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"4","mutex_lock_unlock_attribution","128","2","2","2","0","2","0","531","0"
"5","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"5","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"5","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"5","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"5","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"6","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"6","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"6","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"6","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"6","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"7","semaphore_give_to_taskb_wake_attribution","1000","16","14","13","1","13","0","1376","1374"
"7","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"7","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"7","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"7","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"8","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"8","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"8","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"8","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"8","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"9","semaphore_give_to_taskb_wake_attribution","1000","13","13","13","0","13","0","1376","0"
"9","tim2_irq_to_task_attribution","900","86","109","86","23","86","0","1239","1183"
"9","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"9","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"9","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"10","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"10","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"10","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"10","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"10","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"11","semaphore_give_to_taskb_wake_attribution","1000","11","11","11","0","11","0","1769","0"
"11","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"11","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"11","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"11","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"12","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"12","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"12","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"12","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"12","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"13","semaphore_give_to_taskb_wake_attribution","1000","13","14","13","1","13","0","1376","1373"
"13","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"13","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"13","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"13","mutex_lock_unlock_attribution","128","2","2","2","0","2","0","531","0"
"14","semaphore_give_to_taskb_wake_attribution","1000","12","10","10","0","10","0","1769","0"
"14","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"14","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"14","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"14","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","531","0"
"15","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"15","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"15","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"15","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"15","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"16","semaphore_give_to_taskb_wake_attribution","1000","13","12","11","1","11","0","1752","1374"
"16","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"16","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"16","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"16","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"17","semaphore_give_to_taskb_wake_attribution","1000","11","9","9","0","9","0","1771","0"
"17","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"17","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"17","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"17","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"18","semaphore_give_to_taskb_wake_attribution","1000","15","13","13","0","13","0","1750","0"
"18","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"18","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"18","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"18","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"19","semaphore_give_to_taskb_wake_attribution","1000","14","14","14","0","14","0","1769","0"
"19","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"19","queue_wake_latency_attribution","900","90","113","90","23","90","0","1229","1172"
"19","queue_end_to_end_latency_attribution","1100","107","129","106","23","106","0","1455","1414"
"19","mutex_lock_unlock_attribution","128","1","1","1","0","0","1","172","0"
"20","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"20","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"20","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"20","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"20","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"21","semaphore_give_to_taskb_wake_attribution","1000","13","12","11","1","11","0","1752","1374"
"21","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"21","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"21","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"21","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"22","semaphore_give_to_taskb_wake_attribution","1000","13","12","11","1","11","0","1752","1374"
"22","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"22","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"22","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"22","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"23","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"23","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"23","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"23","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"23","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"24","semaphore_give_to_taskb_wake_attribution","1000","4","4","4","0","4","0","1375","0"
"24","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"24","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"24","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"24","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"25","semaphore_give_to_taskb_wake_attribution","1000","13","12","11","1","11","0","1752","1374"
"25","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"25","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"25","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"25","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"26","semaphore_give_to_taskb_wake_attribution","1000","8","8","8","0","8","0","1776","0"
"26","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"26","queue_wake_latency_attribution","900","89","112","89","23","89","0","1229","1179"
"26","queue_end_to_end_latency_attribution","1100","106","128","105","23","105","0","1455","1421"
"26","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","577","0"
"27","semaphore_give_to_taskb_wake_attribution","1000","11","11","11","0","11","0","1376","0"
"27","tim2_irq_to_task_attribution","900","25","25","25","0","25","0","1235","0"
"27","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"27","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"27","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"28","semaphore_give_to_taskb_wake_attribution","1000","13","10","10","0","10","0","1376","0"
"28","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"28","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"28","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"28","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"29","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"29","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"29","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"29","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"29","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"30","semaphore_give_to_taskb_wake_attribution","1000","14","13","13","0","13","0","1769","0"
"30","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"30","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"30","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"30","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","531","0"
